identifier,protein_families,pfam,pfam_clan,keyword,family,genus,gene_name,protein_name,uniprot_kb_id
Q90ZI3,venom metalloproteinase (M12B) family|IC,PF00200 (Disintegrin)|71.2;PF01421 (Reprolysin)|208.4;PF01562 (Pep_M12B_propep)|62.4;PF08516 (ADAM_CR)|71.9,CL0126 (Peptidase_MA);CL0750 (ADAM_CR_sf),KW-0053 (Apoptosis);KW-1204 (Blood coagulation cascade activating toxin);KW-0106 (Calcium);KW-1217 (Cell adhesion impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1206 (Fibrinogenolytic toxin);KW-1205 (Fibrinolytic toxin);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0645 (Protease);KW-0655 (Prothrombin activator);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0862 (Zinc);KW-0865 (Zymogen),Viperidae,Protobothrops,,Zinc metalloproteinase-disintegrin-like HV1,VM3H1_PROFL
Q91401,venom metalloproteinase (M12B) family|IC,PF01421 (Reprolysin)|186.8,CL0126 (Peptidase_MA),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1206 (Fibrinogenolytic toxin);KW-1205 (Fibrinolytic toxin);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0630 (Potassium);KW-0645 (Protease);KW-0873 (Pyrrolidone carboxylic acid);KW-0964 (Secreted);KW-0800 (Toxin);KW-0862 (Zinc),Viperidae,Crotalus,,Snake venom metalloproteinase atroxase,VM1AT_CROAT
Q91516,peptidase S1 family|SAM,PF00089 (Trypsin)|204.0,CL0124 (Peptidase_PA),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1205 (Fibrinolytic toxin);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0617 (Plasminogen activation);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0732 (Signal);KW-0800 (Toxin);KW-0865 (Zymogen),Viperidae,Trimeresurus,,Venom plasminogen activator TSV-PA,VSPPA_TRIST
Q95P65,5'-nucleotidase family|IC,PF00149 (Metallophos)|60.1;PF02872 (5_nucleotid_C)|126.8,CL0163 (Calcineurin);CL0781 (NadN_C),KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-1201 (Platelet aggregation inhibiting toxin);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0862 (Zinc),Glossinidae,Glossina,,5'-nucleotidase-related protein,APY_GLOMM
Q9BPG6,conotoxin T superfamily|IC,PF16981 (Chi-conotoxin)|99.9,CL0083 (Omega_toxin),KW-0102 (Bromination);KW-0108 (Calcium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0301 (Gamma-carboxyglutamic acid);KW-0325 (Glycoprotein);KW-0379 (Hydroxylation);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Epsilon-conotoxin TxVA,CT5AP_CONTE
Q9FBI2,ribosome-inactivating protein family|IC,PF00161 (RIP)|130.9,,KW-0002 (3D-structure);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0652 (Protein synthesis inhibitor);KW-0732 (Signal);KW-0800 (Toxin);KW-0843 (Virulence),Enterobacteriaceae,Shigella,stxA,Shiga toxin subunit A,STXA_SHIDY
Q9IAB0,venom metalloproteinase (M12B) family|IC,PF00200 (Disintegrin)|54.0;PF01421 (Reprolysin)|214.4;PF01562 (Pep_M12B_propep)|63.2,CL0126 (Peptidase_MA),KW-0106 (Calcium);KW-1217 (Cell adhesion impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-1201 (Platelet aggregation inhibiting toxin);KW-0645 (Protease);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0862 (Zinc);KW-0865 (Zymogen),Viperidae,Agkistrodon,,Zinc metalloproteinase/disintegrin,VM2CO_AGKCO
Q9KS12,,PF00561 (Abhydrolase_1)|44.4;PF07634 (RtxA)|284.9;PF11647 (MLD)|112.4;PF11713 (Peptidase_C80)|187.7;PF16671 (ACD)|796.0;PF21735 (RtxA_C)|50.8;PF27349 (IcsB_M)|298.6,CL0028 (AB_hydrolase);CL0093 (Peptidase_CD);CL0592 (beta_Roll),KW-0002 (3D-structure);KW-0012 (Acyltransferase);KW-0067 (ATP-binding);KW-0068 (Autocatalytic cleavage);KW-0903 (Direct protein sequencing);KW-1032 (Host cell membrane);KW-1035 (Host cytoplasm);KW-1043 (Host membrane);KW-0378 (Hydrolase);KW-0436 (Ligase);KW-0446 (Lipid-binding);KW-0460 (Magnesium);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0511 (Multifunctional enzyme);KW-0547 (Nucleotide-binding);KW-0645 (Protease);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0788 (Thiol protease);KW-0800 (Toxin);KW-0808 (Transferase);KW-0843 (Virulence),Vibrionaceae,Vibrio,rtxA,Multifunctional-autoprocessing repeats-in-toxin,MARTX_VIBCH
Q9L9J3,glycosyltransferase NleB family|IC,,,KW-0325 (Glycoprotein);KW-0328 (Glycosyltransferase);KW-1035 (Host cytoplasm);KW-0464 (Manganese);KW-0479 (Metal-binding);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0800 (Toxin);KW-0808 (Transferase);KW-0843 (Virulence),Enterobacteriaceae,Salmonella,sseK1,Protein-arginine N-acetylglucosaminyltransferase SseK1,SSEK1_SALTY
Q9PW35,venom metalloproteinase (M12B) family|IC,PF01421 (Reprolysin)|192.0;PF01562 (Pep_M12B_propep)|60.5,CL0126 (Peptidase_MA),KW-0002 (3D-structure);KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1200 (Hemorrhagic toxin);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0645 (Protease);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0862 (Zinc);KW-0865 (Zymogen),Viperidae,Deinagkistrodon,,Snake venom metalloproteinase acutolysin-A,VM1AA_DEIAC
Q9UAC8,long (4 C-C) scorpion toxin superfamily|IC,PF00537 (Toxin_3)|40.9,CL0054 (Knottin_1),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Buthidae,Olivierus,,Beta-toxin BmKAs1,SCAT_OLIMR
Q9Y0X6,,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1213 (G-protein coupled receptor impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Buthidae,Olivierus,,BmK-YA precursor,YA_OLIMR
Q9YI19,venom metalloproteinase (M12B) family|IC,PF00200 (Disintegrin)|47.7;PF01421 (Reprolysin)|208.8;PF01562 (Pep_M12B_propep)|62.9,CL0126 (Peptidase_MA),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1206 (Fibrinogenolytic toxin);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0645 (Protease);KW-0873 (Pyrrolidone carboxylic acid);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Gloydius,,Zinc metalloproteinase/disintegrin,VM2MC_GLOBR
W8EFS0,5'-nucleotidase family|IC,PF02872 (5_nucleotid_C)|147.0,CL0781 (NadN_C),KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0336 (GPI-anchor);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-1201 (Platelet aggregation inhibiting toxin);KW-0800 (Toxin);KW-0862 (Zinc),Viperidae,Macrovipera,,Snake venom 5'-nucleotidase,V5NTD_MACLB
A0A0K1YW63,secapin family|IC,PF17521 (Secapin)|27.8,,KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-1015 (Disulfide bond);KW-0295 (Fungicide);KW-1199 (Hemostasis impairing toxin);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-0646 (Protease inhibitor);KW-0964 (Secreted);KW-0722 (Serine protease inhibitor);KW-0732 (Signal);KW-0800 (Toxin),Apidae,Apis,,Secapin,SECP_APICE
A0A1S4NYE3,In the N-terminal section|IC,PF04829 (PT-VENN)|67.4;PF05860 (TPS)|170.9;PF13332 (Fil_haemagg_2)|195.0;PF21726 (DUF6862)|38.0,CL0268 (Pec_lyase-like),KW-0002 (3D-structure);KW-0255 (Endonuclease);KW-0378 (Hydrolase);KW-0540 (Nuclease);KW-0964 (Secreted);KW-0732 (Signal);KW-1266 (Target cell cytoplasm);KW-0800 (Toxin);KW-0843 (Virulence),Enterobacteriaceae,Escherichia,cdiA,tRNA nuclease CdiA,CDIA_ECOST
A0A5C2A2T2,phospholipase A2 family|IC,,,KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0379 (Hydroxylation);KW-0873 (Pyrrolidone carboxylic acid);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Conodipine-P1,COP1_CONPU
A4VBF0,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|108.6,CL0629 (PLA2),KW-1203 (Blood coagulation cascade inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-0528 (Neurotoxin);KW-0593 (Phospholipase A2 inhibitor);KW-1201 (Platelet aggregation inhibiting toxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Vipera,,Acidic phospholipase A2 inhibitor chain HPD-1I,PA2H_VIPNI
A8YPR9,In the C-terminal section|IC,,,KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0382 (Hypotensive agent);KW-0481 (Metalloenzyme inhibitor);KW-0483 (Metalloprotease inhibitor);KW-0646 (Protease inhibitor);KW-0873 (Pyrrolidone carboxylic acid);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0838 (Vasoactive);KW-0840 (Vasodilator),Viperidae,Cerastes,Svmpi-Cce12,Snake venom metalloprotease inhibitor 02A10,SVMI1_CERCE
B1P1E0,neurotoxin 10 (Hwtx-1) family|IC,PF07740 (Toxin_12)|29.2,CL0083 (Omega_toxin),KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Chilobrachys,,Kappa-theraphotoxin-Cg1a 3,JZ11C_CHIGU
B1P1E2,neurotoxin 10 (Hwtx-1) family|IC,PF07740 (Toxin_12)|29.2,CL0083 (Omega_toxin),KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Chilobrachys,,Kappa-theraphotoxin-Cg1a 4,JZ11D_CHIGU
B1P1F5,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Chilobrachys,,U18-theraphotoxin-Cg1a,JZT32_CHIGU
B2G331,venom Kunitz-type family|IC,PF00014 (Kunitz_BPTI)|76.7,CL0894 (BPTI),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0166 (Nematocyst);KW-0528 (Neurotoxin);KW-0646 (Protease inhibitor);KW-0964 (Secreted);KW-0722 (Serine protease inhibitor);KW-0732 (Signal);KW-0800 (Toxin),Stichodactylidae,Radianthus,,TauPI-stichotoxin-Hcr2b,VKT2B_RADCR
B3EWH0,neurotoxin 19 (CSTX) family|IC,PF10530 (Toxin_35)|41.0,CL0083 (Omega_toxin),KW-0002 (3D-structure);KW-0027 (Amidation);KW-0108 (Calcium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Lycosidae,Alopecosa,,Purotoxin-2,TXPR2_ALOMR
B7S4N9,venom Kunitz-type family|IC,PF00014 (Kunitz_BPTI)|76.3,CL0894 (BPTI),KW-1203 (Blood coagulation cascade inhibiting toxin);KW-0108 (Calcium channel impairing toxin);KW-1221 (Calcium-activated potassium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0646 (Protease inhibitor);KW-0964 (Secreted);KW-0722 (Serine protease inhibitor);KW-0732 (Signal);KW-0800 (Toxin);KW-1218 (Voltage-gated calcium channel impairing toxin),Elapidae,Oxyuranus,,Kunitz-type serine protease inhibitor taicotoxin,VKT_OXYSC
C0HJY4,poneritoxin-Ae1 family|IC,,,KW-0002 (3D-structure);KW-0027 (Amidation);KW-0108 (Calcium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-1218 (Voltage-gated calcium channel impairing toxin),Formicidae,Anochetus,,U1-poneritoxin-Ae1a,PON1A_ANOEM
C0HK05,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|63.2,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0959 (Myotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Viperidae,Crotalus,,Basic phospholipase A2 ColTx-1,PA2BC_CROLT
C0HK27,leguminous lectin family|IC,PF00139 (Lectin_legB)|190.8,CL0004 (Concanavalin),KW-0002 (3D-structure);KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-0348 (Hemagglutinin);KW-0430 (Lectin);KW-0464 (Manganese);KW-0465 (Mannose-binding);KW-0479 (Metal-binding);KW-0732 (Signal);KW-0800 (Toxin),Fabaceae,Dioclea,,Lectin,LECA_DIOLA
C3W4R6,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|111.2,CL0629 (PLA2),KW-0106 (Calcium);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Macrovipera,,Acidic phospholipase A2 1,PA2A1_MACLB
D2Y1X6,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0002 (3D-structure);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Cyriopagopus,,Mu-theraphotoxin-Hhn2b 1,H1A01_CYRHA
D2Y1Y1,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Cyriopagopus,,Hainantoxin-III,H3A03_CYRHA
D2Y1Z4,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Cyriopagopus,,Hainantoxin-III 6,H3A06_CYRHA
D2Y232,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0002 (3D-structure);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Cyriopagopus,,Mu-theraphotoxin-Hhn1b 1,H4A01_CYRHA
D4QD81,,,,KW-1203 (Blood coagulation cascade inhibiting toxin);KW-0106 (Calcium);KW-0963 (Cytoplasm);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0645 (Protease);KW-0677 (Repeat);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0732 (Signal);KW-0800 (Toxin),Ixodidae,Haemaphysalis,A01M12,Longistatin,LONG_HAELO
G9I930,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|89.4,CL0629 (PLA2),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-1275 (Proton-gated sodium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Elapidae,Micrurus,,Basic phospholipase A2 homolog MitTx-beta,PA2HB_MICTN
I6L8L6,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|106.8,CL0629 (PLA2),KW-0002 (3D-structure);KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0959 (Myotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Viperidae,Bothrops,,Basic phospholipase A2 homolog 2,PA2H1_BOTBZ
K9IMD0,transferrin family|SAM,PF00405 (Transferrin)|853.4,CL0177 (PBP),KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-1203 (Blood coagulation cascade inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0391 (Immunity);KW-0406 (Ion transport);KW-0408 (Iron);KW-0410 (Iron transport);KW-0479 (Metal-binding);KW-0892 (Osteogenesis);KW-0645 (Protease);KW-0677 (Repeat);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0732 (Signal);KW-0800 (Toxin);KW-0813 (Transport),Phyllostomidae,Desmodus,LTF,Lactotransferrin,TRLF_DESRO
K9USW8,arthropod phospholipase D family|IC,,,KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0204 (Cytolysis);KW-1061 (Dermonecrotic toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0354 (Hemolysis);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0456 (Lyase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0800 (Toxin),Sicariidae,Loxosceles,,Dermonecrotic toxin LgSicTox-alphaIC1,A1O_LOXGA
P00614,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|116.7,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Elapidae,Oxyuranus,,Basic phospholipase A2 taipoxin alpha chain,PA2TA_OXYSC
P00624,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|110.2,CL0629 (PLA2),KW-0002 (3D-structure);KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Crotalus,,Acidic phospholipase A2,PA2A_CROAT
P01050,protease inhibitor I14 (hirudin) family|IC,PF00713 (Hirudin)|139.3,CL0620 (Antihemostatic),KW-0002 (3D-structure);KW-1203 (Blood coagulation cascade inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0582 (Pharmaceutical);KW-0646 (Protease inhibitor);KW-0964 (Secreted);KW-0722 (Serine protease inhibitor);KW-0765 (Sulfation);KW-0800 (Toxin),Hirudinidae,Hirudo,,Hirudin variant-1,HIRV1_HIRME
P01492,long (4 C-C) scorpion toxin superfamily|IC,PF00537 (Toxin_3)|47.3,CL0054 (Knottin_1),KW-0002 (3D-structure);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Buthidae,Centruroides,,Toxin CsEv1,SCX1_CENSC
P01521,conotoxin A superfamily|IC,,,KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin MI,CA1_CONMA
P01555,enterotoxin A family|IC,PF01375 (Enterotoxin_a)|431.7,CL0084 (ADP-ribosyl),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0260 (Enterotoxin);KW-0328 (Glycosyltransferase);KW-0520 (NAD);KW-0548 (Nucleotidyltransferase);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0800 (Toxin);KW-0808 (Transferase);KW-0843 (Virulence),Vibrionaceae,Vibrio,ctxA,Cholera enterotoxin subunit A,CHTA_VIBCH
P02879,In the N-terminal section|IC,PF00161 (RIP)|206.9;PF00652 (Ricin_B_lectin)|168.5,CL0066 (Trefoil),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0430 (Lectin);KW-0547 (Nucleotide-binding);KW-0611 (Plant defense);KW-0652 (Protein synthesis inhibitor);KW-0677 (Repeat);KW-0732 (Signal);KW-0800 (Toxin),Euphorbiaceae,Ricinus,,Ricin,RICI_RICCO
P04977,bacterial exotoxin subunit A family|IC,PF02917 (Pertussis_S1)|430.3,CL0084 (ADP-ribosyl),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0328 (Glycosyltransferase);KW-0520 (NAD);KW-0548 (Nucleotidyltransferase);KW-0582 (Pharmaceutical);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0808 (Transferase);KW-0843 (Virulence);KW-0855 (Whooping cough),Alcaligenaceae,Bordetella,ptxA,Pertussis toxin subunit 1,TOX1_BORPE
P08878,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|103.5,CL0629 (PLA2),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1213 (G-protein coupled receptor impairing toxin);KW-0528 (Neurotoxin);KW-0582 (Pharmaceutical);KW-0638 (Presynaptic neurotoxin);KW-0873 (Pyrrolidone carboxylic acid);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Crotalus,,Phospholipase A2 homolog crotoxin acid subunit CA,PA2H_CRODU
P08902,leguminous lectin family|IC,PF00139 (Lectin_legB)|177.1,CL0004 (Concanavalin),KW-0002 (3D-structure);KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-0430 (Lectin);KW-0464 (Manganese);KW-0465 (Mannose-binding);KW-0479 (Metal-binding);KW-0800 (Toxin),Fabaceae,Macropsychanthus,,Lectin alpha chain,LECA_DIOGR
P09545,HlyA hemolysin family|IC,PF07968 (Leukocidin)|214.7;PF12563 (Hemolysin_N)|330.3;PF16458 (Beta-prism_lec)|234.1,CL0568 (Man_lectin);CL0636 (Leukocidin),KW-0002 (3D-structure);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0354 (Hemolysis);KW-1032 (Host cell membrane);KW-1043 (Host membrane);KW-0430 (Lectin);KW-0472 (Membrane);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0812 (Transmembrane);KW-1134 (Transmembrane beta strand);KW-0843 (Virulence),Vibrionaceae,Vibrio,hlyA,Hemolysin,HLYA_VIBCH
P09981,long (4 C-C) scorpion toxin superfamily|IC,PF00537 (Toxin_3)|81.9,CL0054 (Knottin_1),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Buthidae,Mesobuthus,,Alpha-like toxin BeM9,SCX9_MESEU
P0C195,conotoxin M superfamily|IC,,,KW-0002 (3D-structure);KW-0027 (Amidation);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Conidae,Conus,,Mu-conotoxin KIIIB,CM3A_CONKI
