identifier,protein_families,pfam,pfam_clan,keyword,family,gene_name,protein_name,uniprot_kb_id
Q96PC3,adaptor complexes small subunit family|IC,PF01217 (Clat_adaptor_s)|192.4,CL0431 (PF),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0168 (Coated pit);KW-0968 (Cytoplasmic vesicle);KW-0225 (Disease variant);KW-0333 (Golgi apparatus);KW-0472 (Membrane);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0813 (Transport),Hominidae,AP1S3,AP-1 complex subunit sigma-3,AP1S3_HUMAN
Q96PD2,,PF00431 (CUB)|91.7;PF00754 (F5_F8_type_C)|108.9;PF03815 (LCCL)|46.6,CL0164 (CUB);CL0202 (GBD);CL0513 (LCCL-domain),KW-0025 (Alternative splicing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",DCBD2_HUMAN
Q96PD5,N-acetylmuramoyl-L-alanine amidase 2 family|IC,PF01510 (Amidase_2)|62.7,,KW-0025 (Alternative splicing);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0391 (Immunity);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0862 (Zinc),Hominidae,PGLYRP2,N-acetylmuramoyl-L-alanine amidase,PGRP2_HUMAN
Q96PK6,,PF00076 (RRM_1)|99.7,CL0221 (RRM),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-1017 (Isopeptide bond);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0678 (Repressor);KW-0694 (RNA-binding);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation),Hominidae,RBM14,RNA-binding protein 14,RBM14_HUMAN
Q96PU5,,PF00168 (C2)|95.5;PF00397 (WW)|172.4;PF00632 (HECT)|346.2,CL0154 (C2);CL0552 (Hect);CL0680 (WW),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0221 (Differentiation);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0967 (Endosome);KW-0333 (Golgi apparatus);KW-0945 (Host-virus interaction);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0808 (Transferase);KW-0832 (Ubl conjugation);KW-0833 (Ubl conjugation pathway),Hominidae,NEDD4L,E3 ubiquitin-protein ligase NEDD4-like,NED4L_HUMAN
Q96PY5,formin homology family|IC,PF02181 (FH2)|363.5;PF06367 (Drf_FH3)|178.0;PF06371 (Drf_GBD)|91.0,CL0020 (TPR),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0449 (Lipoprotein);KW-0519 (Myristate);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,FMNL2,Formin-like protein 2,FMNL2_HUMAN
Q96PZ2,FAM111 family|IC,PF13365 (Trypsin_2)|55.4;PF26749 (FAM111_N)|260.2,CL0124 (Peptidase_PA),KW-0002 (3D-structure);KW-0068 (Autocatalytic cleavage);KW-0158 (Chromosome);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0227 (DNA damage);KW-0234 (DNA repair);KW-0235 (DNA replication);KW-0238 (DNA-binding);KW-0242 (Dwarfism);KW-0945 (Host-virus interaction);KW-0378 (Hydrolase);KW-1017 (Isopeptide bond);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-0645 (Protease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0832 (Ubl conjugation),Hominidae,FAM111A,Serine protease FAM111A,F111A_HUMAN
Q96Q89,TRAFAC class myosin-kinesin ATPase superfamily|SAM,PF00225 (Kinesin)|298.1,CL0023 (P-loop_NTPase),KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0966 (Cell projection);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0493 (Microtubule);KW-0498 (Mitosis);KW-0505 (Motor protein);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0553 (Oncogene);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,KIF20B,Kinesin-like protein KIF20B,KI20B_HUMAN
Q96QB1,,PF00620 (RhoGAP)|145.1;PF01852 (START)|191.8;PF07647 (SAM_2)|39.1,CL0003 (SAM);CL0209 (Bet_v_1_like);CL0409 (GAP),KW-0002 (3D-structure);KW-0877 (Alternative promoter usage);KW-0025 (Alternative splicing);KW-0965 (Cell junction);KW-0963 (Cytoplasm);KW-0343 (GTPase activation);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0043 (Tumor suppressor),Hominidae,DLC1,Rho GTPase-activating protein 7,RHG07_HUMAN
Q96QF0,SEC2 family|SAM,PF06428 (Sec2p)|43.3;PF25555 (RAB3A-like_C)|223.5,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0966 (Cell projection);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0344 (Guanine-nucleotide releasing factor);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0813 (Transport),Hominidae,RAB3IP,Rab-3A-interacting protein,RAB3I_HUMAN
Q96QP1,protein kinase superfamily|IC,PF02816 (Alpha_kinase)|152.3,CL0016 (PKinase),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0966 (Cell projection);KW-0970 (Cilium biogenesis/degradation);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0225 (Disease variant);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-0418 (Kinase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0723 (Serine/threonine-protein kinase);KW-0808 (Transferase),Hominidae,ALPK1,Alpha-protein kinase 1,ALPK1_HUMAN
Q96QS3,paired homeobox family|IC,PF00046 (Homeodomain)|88.5;PF03826 (OAR)|33.3,CL0123 (HTH),KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-0225 (Disease variant);KW-0238 (DNA-binding);KW-0887 (Epilepsy);KW-0371 (Homeobox);KW-0991 (Intellectual disability);KW-0451 (Lissencephaly);KW-0524 (Neurogenesis);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0818 (Triplet repeat expansion),Hominidae,ARX,Homeobox protein ARX,ARX_HUMAN
Q96R06,,,,KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0137 (Centromere);KW-0158 (Chromosome);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0995 (Kinetochore);KW-0493 (Microtubule);KW-0498 (Mitosis);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,SPAG5,Sperm-associated antigen 5,SPAG5_HUMAN
Q96RF0,sorting nexin family|IC,PF00787 (PX)|80.4;PF10456 (BAR_3_WASP_bdg)|227.5;PF14604 (SH3_9)|41.6,CL0010 (SH3);CL0145 (Golgi-transport),KW-0025 (Alternative splicing);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-1003 (Cell membrane);KW-0968 (Cytoplasmic vesicle);KW-0254 (Endocytosis);KW-0967 (Endosome);KW-0446 (Lipid-binding);KW-0472 (Membrane);KW-0498 (Mitosis);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0728 (SH3 domain);KW-0813 (Transport),Hominidae,SNX18,Sorting nexin-18,SNX18_HUMAN
Q96RJ3,,PF09256 (BaffR-Tall_bind)|63.5,CL0607 (TNF_receptor),KW-0002 (3D-structure);KW-1064 (Adaptive immunity);KW-0025 (Alternative splicing);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0391 (Immunity);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0735 (Signal-anchor);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C,TR13C_HUMAN
Q96RL1,RAP80 family|IC,PF18282 (RAP80_UIM)|114.6,CL0702 (UIM),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0156 (Chromatin regulator);KW-0227 (DNA damage);KW-0234 (DNA repair);KW-1017 (Isopeptide bond);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,UIMC1,BRCA1-A complex subunit RAP80,UIMC1_HUMAN
Q96RQ3,,PF00289 (Biotin_carb_N)|165.1;PF00364 (Biotin_lipoyl)|63.9;PF02785 (Biotin_carb_C)|125.1;PF02786 (CPSase_L_D2)|257.8,CL0063 (NADP_Rossmann);CL0105 (Hybrid);CL0179 (ATP-grasp),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0067 (ATP-binding);KW-0092 (Biotin);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0436 (Ligase);KW-0496 (Mitochondrion);KW-0547 (Nucleotide-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0809 (Transit peptide),Hominidae,MCCC1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",MCCA_HUMAN
Q96RS0,methyltransferase superfamily|IC,PF09445 (Methyltransf_15)|146.0,CL0063 (NADP_Rossmann),KW-0002 (3D-structure);KW-0963 (Cytoplasm);KW-0489 (Methyltransferase);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0949 (S-adenosyl-L-methionine);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0808 (Transferase),Hominidae,TGS1,Trimethylguanosine synthase,TGS1_HUMAN
Q96RT1,LAP (LRR and PDZ) protein family|IC,PF00595 (PDZ)|53.1;PF13855 (LRR_8)|121.5;PF23598 (LRR_14)|126.4,CL0022 (LRR);CL0466 (PDZ-like),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0965 (Cell junction);KW-1003 (Cell membrane);KW-0433 (Leucine-rich repeat);KW-0472 (Membrane);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,ERBIN,Erbin,ERBIN_HUMAN
Q96RU8,protein kinase superfamily|IC,PF00069 (Pkinase)|119.4,CL0016 (PKinase),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0649 (Protein kinase inhibitor);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,TRIB1,Tribbles homolog 1,TRIB1_HUMAN
Q96RW7,,PF00090 (TSP_1)|196.6;PF07474 (G2F)|176.0;PF07645 (EGF_CA)|212.7;PF07679 (I-set)|2447.7;PF12662 (cEGF)|152.9;PF13927 (Ig_3)|2194.0;PF23560 (GBD_Hemicentin)|81.1;PF25106 (VWA_4)|187.8,CL0001 (EGF);CL0069 (GFP);CL0128 (vWA-like);CL0159 (E-set);CL0202 (GBD);CL0692 (TSP1),KW-0913 (Age-related macular degeneration);KW-0025 (Alternative splicing);KW-0084 (Basement membrane);KW-0106 (Calcium);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0965 (Cell junction);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0272 (Extracellular matrix);KW-0325 (Glycoprotein);KW-0393 (Immunoglobulin domain);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0716 (Sensory transduction);KW-0732 (Signal);KW-0844 (Vision),Hominidae,HMCN1,Hemicentin-1,HMCN1_HUMAN
Q96S16,,PF13621 (Cupin_8)|47.2,CL0029 (Cupin),KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0256 (Endoplasmic reticulum);KW-0325 (Glycoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal),Hominidae,JMJD8,JmjC domain-containing protein 8,JMJD8_HUMAN
Q96S38,protein kinase superfamily|SAM,PF00069 (Pkinase)|101.6;PF00787 (PX)|45.8;PF04212 (MIT)|59.6,CL0016 (PKinase);CL0745 (MIT),KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0963 (Cytoplasm);KW-0967 (Endosome);KW-0418 (Kinase);KW-0446 (Lipid-binding);KW-0472 (Membrane);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0723 (Serine/threonine-protein kinase);KW-0808 (Transferase),Hominidae,RPS6KC1,Ribosomal protein S6 kinase delta-1,KS6C1_HUMAN
Q96SA4,TDE1 family|IC,PF03348 (Serinc)|510.6,,KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,SERINC2,Serine incorporator 2,SERC2_HUMAN
Q96SB3,,PF00595 (PDZ)|51.5;PF17817 (PDZ_5)|112.0,CL0466 (PDZ-like),KW-0009 (Actin-binding);KW-0965 (Cell junction);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-0472 (Membrane);KW-0524 (Neurogenesis);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0770 (Synapse),Hominidae,PPP1R9B,Neurabin-2,NEB2_HUMAN
Q96SL4,glutathione peroxidase family|IC,PF00255 (GSHPx)|131.4,CL0172 (Thioredoxin),KW-0002 (3D-structure);KW-0560 (Oxidoreductase);KW-0575 (Peroxidase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,GPX7,Glutathione peroxidase 7,GPX7_HUMAN
Q96SQ9,cytochrome P450 family|IC,PF00067 (p450)|441.6,,KW-0025 (Alternative splicing);KW-0256 (Endoplasmic reticulum);KW-0276 (Fatty acid metabolism);KW-0349 (Heme);KW-0408 (Iron);KW-0413 (Isomerase);KW-0443 (Lipid metabolism);KW-0456 (Lyase);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0492 (Microsome);KW-0503 (Monooxygenase);KW-0560 (Oxidoreductase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,CYP2S1,Cytochrome P450 2S1,CP2S1_HUMAN
Q96T17,MAP7 family|IC,PF05672 (MAP7)|139.0,,KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0966 (Cell projection);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,MAP7D2,MAP7 domain-containing protein 2,MA7D2_HUMAN
Q96T53,membrane-bound acyltransferase family|IC,PF03062 (MBOAT)|42.6,CL0517 (MBOAT-like),KW-0012 (Acyltransferase);KW-0025 (Alternative splicing);KW-0256 (Endoplasmic reticulum);KW-0472 (Membrane);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,MBOAT4,Membrane-bound ghrelin O-acyltransferase MBOAT4,MBOA4_HUMAN
Q96TA2,In the N-terminal section|IC,PF00004 (AAA)|150.8;PF01434 (Peptidase_M41)|219.7;PF17862 (AAA_lid_3)|39.6,CL0023 (P-loop_NTPase);CL0126 (Peptidase_MA);CL0671 (AAA_lid),KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0225 (Disease variant);KW-0378 (Hydrolase);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0496 (Mitochondrion);KW-0999 (Mitochondrion inner membrane);KW-0547 (Nucleotide-binding);KW-0645 (Protease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0862 (Zinc),Hominidae,YME1L1,ATP-dependent zinc metalloprotease YME1L1,YMEL1_HUMAN
Q99075,,PF27818 (HBEGF_C)|85.0,,KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0325 (Glycoprotein);KW-0339 (Growth factor);KW-0358 (Heparin-binding);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,HBEGF,Proheparin-binding EGF-like growth factor,HBEGF_HUMAN
Q99250,sodium channel (TC 1|IC,PF00520 (Ion_trans)|863.3;PF06512 (Na_trans_assoc)|229.4;PF11933 (Na_trans_cytopl)|219.9;PF24609 (IQ_SCN5A_C)|56.8,CL0030 (Ion_channel);CL0220 (EF_hand),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0887 (Epilepsy);KW-0325 (Glycoprotein);KW-0407 (Ion channel);KW-0406 (Ion transport);KW-1017 (Isopeptide bond);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0915 (Sodium);KW-0894 (Sodium channel);KW-0739 (Sodium transport);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport);KW-0832 (Ubl conjugation);KW-0851 (Voltage-gated channel),Hominidae,SCN2A,Sodium channel protein type 2 subunit alpha,SCN2A_HUMAN
Q99447,cytidylyltransferase family|IC,PF01467 (CTP_transf_like)|165.6,CL0039 (HUP),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0225 (Disease variant);KW-0890 (Hereditary spastic paraplegia);KW-0444 (Lipid biosynthesis);KW-0443 (Lipid metabolism);KW-0523 (Neurodegeneration);KW-0548 (Nucleotidyltransferase);KW-0594 (Phospholipid biosynthesis);KW-1208 (Phospholipid metabolism);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase),Hominidae,PCYT2,Ethanolamine-phosphate cytidylyltransferase,PCY2_HUMAN
Q99453,paired homeobox family|IC,PF00046 (Homeodomain)|82.0,CL0123 (HTH),KW-0002 (3D-structure);KW-0010 (Activator);KW-0217 (Developmental protein);KW-0225 (Disease variant);KW-0238 (DNA-binding);KW-0371 (Homeobox);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0818 (Triplet repeat expansion),Hominidae,PHOX2B,Paired mesoderm homeobox protein 2B,PHX2B_HUMAN
Q99459,CEF1 family|IC,PF11831 (Myb_Cef)|261.1;PF13921 (Myb_DNA-bind_6)|71.2,CL0123 (HTH),KW-0002 (3D-structure);KW-0010 (Activator);KW-0131 (Cell cycle);KW-0160 (Chromosomal rearrangement);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0227 (DNA damage);KW-0234 (DNA repair);KW-0238 (DNA-binding);KW-1017 (Isopeptide bond);KW-0507 (mRNA processing);KW-0508 (mRNA splicing);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0694 (RNA-binding);KW-0747 (Spliceosome);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation),Hominidae,CDC5L,Cell division cycle 5-like protein,CDC5L_HUMAN
Q99466,NOTCH family|IC,PF00008 (EGF)|406.2;PF00066 (Notch)|83.1;PF06816 (NOD)|22.8;PF07645 (EGF_CA)|111.2;PF07684 (NODP)|36.6;PF12661 (hEGF)|268.8;PF12796 (Ank_2)|138.4,CL0001 (EGF);CL0465 (Ank),KW-0002 (3D-structure);KW-0010 (Activator);KW-0025 (Alternative splicing);KW-0040 (ANK repeat);KW-1003 (Cell membrane);KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0325 (Glycoprotein);KW-0945 (Host-virus interaction);KW-0472 (Membrane);KW-0914 (Notch signaling pathway);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0818 (Triplet repeat expansion),Hominidae,NOTCH4,Neurogenic locus notch homolog protein 4,NOTC4_HUMAN
Q99467,Toll-like receptor family|IC,PF13855 (LRR_8)|158.1;PF18831 (LRR_11)|61.7,CL0022 (LRR),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-0903 (Direct protein sequencing);KW-0325 (Glycoprotein);KW-0391 (Immunity);KW-0395 (Inflammatory response);KW-0399 (Innate immunity);KW-0433 (Leucine-rich repeat);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,CD180,CD180 antigen,CD180_HUMAN
Q99490,centaurin gamma-like family|IC,PF00071 (Ras)|57.6;PF01412 (ArfGap)|132.0;PF12796 (Ank_2)|38.7,CL0023 (P-loop_NTPase);CL0465 (Ank),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0040 (ANK repeat);KW-0963 (Cytoplasm);KW-0342 (GTP-binding);KW-0343 (GTPase activation);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0813 (Transport);KW-0043 (Tumor suppressor);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,AGAP2,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",AGAP2_HUMAN
Q99496,,PF13923 (zf-C3HC4_2)|59.7;PF16207 (RAWUL)|77.6,CL0072 (Ubiquitin);CL0229 (RING),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0158 (Chromosome);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0887 (Epilepsy);KW-0991 (Intellectual disability);KW-1017 (Isopeptide bond);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0678 (Repressor);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0808 (Transferase);KW-0832 (Ubl conjugation);KW-0833 (Ubl conjugation pathway);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,RNF2,E3 ubiquitin-protein ligase RING2,RING2_HUMAN
Q99518,FMO family|IC,PF00743 (FMO-like)|981.3,CL0063 (NADP_Rossmann),KW-0007 (Acetylation);KW-0256 (Endoplasmic reticulum);KW-0274 (FAD);KW-0285 (Flavoprotein);KW-1017 (Isopeptide bond);KW-0460 (Magnesium);KW-0472 (Membrane);KW-0492 (Microsome);KW-0503 (Monooxygenase);KW-0521 (NADP);KW-0560 (Oxidoreductase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0832 (Ubl conjugation),Hominidae,FMO2,Flavin-containing monooxygenase 2,FMO2_HUMAN
Q99536,zinc-containing alcohol dehydrogenase family|IC,PF08240 (ADH_N)|57.2;PF13602 (ADH_zinc_N_2)|76.4,CL0063 (NADP_Rossmann);CL0296 (GroES),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0445 (Lipid transport);KW-0472 (Membrane);KW-0496 (Mitochondrion);KW-1000 (Mitochondrion outer membrane);KW-0560 (Oxidoreductase);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0813 (Transport),Hominidae,VAT1,NADPH-dependent quinone oxidoreductase VAT1,VAT1_HUMAN
Q99574,serpin family|IC,PF00079 (Serpin)|382.4,,KW-0002 (3D-structure);KW-0968 (Cytoplasmic vesicle);KW-0225 (Disease variant);KW-0325 (Glycoprotein);KW-0523 (Neurodegeneration);KW-0646 (Protease inhibitor);KW-0654 (Proteoglycan);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0722 (Serine protease inhibitor);KW-0732 (Signal),Hominidae,SERPINI1,Neuroserpin,NEUS_HUMAN
Q99576,TSC-22/Dip/Bun family|IC,PF01166 (TSC22)|95.9,,KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,TSC22D3,TSC22 domain family protein 3,T22D3_HUMAN
Q99578,small GTPase superfamily|IC,PF00071 (Ras)|176.1,CL0023 (P-loop_NTPase),KW-0025 (Alternative splicing);KW-0112 (Calmodulin-binding);KW-1003 (Cell membrane);KW-0342 (GTP-binding);KW-0378 (Hydrolase);KW-0472 (Membrane);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,RIT2,GTP-binding protein Rit2,RIT2_HUMAN
Q99581,ETS family|IC,PF00178 (Ets)|119.1,CL0123 (HTH),KW-0002 (3D-structure);KW-0160 (Chromosomal rearrangement);KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-0238 (DNA-binding);KW-0524 (Neurogenesis);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,FEV,Protein FEV,FEV_HUMAN
Q99593,,PF00907 (T-box)|264.1,CL0073 (P53-like),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-1020 (Atrial fibrillation);KW-0122 (Cardiomyopathy);KW-0963 (Cytoplasm);KW-0217 (Developmental protein);KW-0225 (Disease variant);KW-0238 (DNA-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,TBX5,T-box transcription factor TBX5,TBX5_HUMAN
